,titulo,preco,quartos,area
193,"Barracão para locação, ZONA RURAL, Sentido Sao Pedro do Iguaçu, TOLEDO - PR ",10000.0,0.0,2000.0
194,"Sala Comercial para locação, CENTRO, CASCAVEL - PR ",4700.0,0.0,103.24
195,"Sala Comercial para locação, CENTRO, TOLEDO - PR ",5500.0,0.0,145.0
196,"Barracão para locação, VILA INDUSTRIAL, TOLEDO - PR ",14000.0,0.0,4936.27
197,TERRENO LOCALIZADO DE FRENTE PARA A AVENIDA CIRNE LIMA ,20000.0,0.0,2645.01
198,"Sala Comercial à venda, Corporativo Taipas CENTRO, TOLEDO - PR ",2770.0,0.0,49.05
199,"Apartamento para locação, JARDIM SANTA MARIA, TOLEDO - PR ",1600.0,2.0,108.24
200,"Sala Comercial para Locação, Corporativo Taipas CENTRO, TOLEDO - PR ",2390.0,0.0,37.52
201,"Sala Comercial para Locação, Corporativo Taipas CENTRO, TOLEDO - PR ",2390.0,0.0,37.52
202,"Apartamento Duplex para locação, CENTRO, TOLEDO - PR ",13000.0,2.0,536.07
203,"Casa, VILA INDUSTRIAL, TOLEDO - PR ",3100.0,2.0,195.0
204,"Barracão para locação, JARDIM PORTO ALEGRE, TOLEDO - PR ",5500.0,0.0,247.0
205,"Barracão para Locação, VILA PIONEIRO, TOLEDO - PR ",8100.0,0.0,821.0
207,"Sala Comercial para locação, JARDIM COOPAGRO, TOLEDO - PR ",17800.0,0.0,1608.22
208,"Sala Comercial para locação, CENTRO, TOLEDO - PR ",6500.0,0.0,208.3
209,"Sala Comercial para locação, JARDIM SANTA MARIA, TOLEDO - PR ",9950.0,0.0,223.5
213,"Barracão para locação, CENTRO, TOLEDO - PR ",11000.0,0.0,480.0
214,"Sala Comercial para locação, CENTRO, TOLEDO - PR ",3500.0,0.0,280.0
215,"Sala Comercial para locação, JARDIM PARIZOTTO, TOLEDO - PR ",2500.0,0.0,104.0
217,"Sala Comercial para locação, CENTRO, TOLEDO - PR ",2490.0,0.0,49.0
218,"Sala Comercial para locação, CENTRO, TOLEDO - PR ",2390.0,0.0,49.0
219,"Sala Comercial para locação, CENTRO, TOLEDO - PR ",8800.0,0.0,267.54
220,"Barracão para locação, JARDIM AMERICA, TOLEDO - PR ",6200.0,0.0,256.0
221,"Apartamento para locação, CENTRO, TOLEDO - PR ",4350.0,2.0,120.0
222,"Apartamento para locação, CENTRO, TOLEDO - PR ",7000.0,0.0,330.0
223,SALA COMERCIAL BAIRRO CENTRO ,900.0,0.0,34.0
224,"Apartamento para Locação, VILA INDUSTRIAL, TOLEDO - PR ",3800.0,2.0,132.6
225,"Casa para locação, JARDIM LA SALLE, TOLEDO - PR ",5000.0,2.0,600.0
226,"Apartamento para locação, JARDIM PORTO ALEGRE, TOLEDO - PR ",2500.0,2.0,103.0
227,"Sobrado para locação, JARDIM GISELA, TOLEDO - PR ",9000.0,3.0,980.0
228,"Apartamento para locação, JARDIM GISELA, TOLEDO - PR ",2800.0,1.0,90.0
229,"Sala Comercial para locação, VILA INDUSTRIAL, TOLEDO - PR ",7000.0,0.0,248.32
230,"Casa para locação, JARDIM CONCÓRDIA, TOLEDO - PR ",3250.0,2.0,218.52
231,"Casa para locação, JARDIM CONCÓRDIA, TOLEDO - PR ",3250.0,2.0,218.52
232,"Casa para Locação, JARDIM GISELA, TOLEDO - PR ",4000.0,2.0,200.48
233,"Sobrado para locação, JARDIM GISELA, TOLEDO - PR ",3400.0,0.0,113.7
234,"Apartamento para locação, TOCANTINS, TOLEDO - PR ",2500.0,1.0,70.0
235,"Apartamento para locação, TOCANTINS, TOLEDO - PR ",2500.0,1.0,70.0
236,"Sala Comercial para locação, JARDIM GISELA, TOLEDO - PR ",2000.0,0.0,90.0
237,"Casa para Locação, JARDIM LA SALLE, TOLEDO - PR ",4800.0,1.0,500.0
238,"Casa para locação, VILA PIONEIRO, TOLEDO - PR ",1800.0,3.0,333.69
239,"Barracão para venda, BR 163, TOLEDO - PR ",20000.0,0.0,11092.0
240,"Casa para locação, VILA PIONEIRO, TOLEDO - PR ",1600.0,3.0,298.0
241,SALA COMERCIAL NO JARDIM TOCANTINS ,1200.0,0.0,51.9
242,"Apartamento para Locação, VILA INDUSTRIAL, TOLEDO - PR ",2200.0,1.0,65.0
243,"Casa para locação, Vila Industrial, TOLEDO - PR ",12500.0,1.0,5409.25
244,"Barracão para Transportadora, Fábricas, Indústrias, Depósitos, em TOLEDO - PR ",22497.0,0.0,1200.0
245,"Sobrado para Locação, JARDIM CONCÓRDIA, TOLEDO - PR ",5600.0,0.0,180.0
246,"Apartamento para locação, CENTRO, TOLEDO - PR ",4500.0,0.0,175.0
247,"Apartamento para locação, CENTRO, TOLEDO - PR ",2500.0,2.0,140.0
248,"Apartamento para locação,309.09 m , VILA INDUSTRIAL, TOLEDO - PR ",5900.0,0.0,170.54
249,"Apartamento para locação,309.09 m , VILA INDUSTRIAL, TOLEDO - PR ",5900.0,0.0,170.54
250,"Sala Comercial para locação, CENTRO, TOLEDO - PR ",4900.0,0.0,160.0
251,Barracão de esquina no Jardim Coopagro em Toledo  PR ,3250.0,0.0,273.0
252,"Apartamento, CENTRO, TOLEDO - PR ",1200.0,1.0,38.04
253,"Sala Comercial para locação, CENTRO, TOLEDO - PR ",1700.0,0.0,536.5
254,"Apartamento, JARDIM CONCÓRDIA, TOLEDO - PR ",2000.0,2.0,102.46
255,"Apartamento para locação, JARDIM PANCERA, TOLEDO - PR ",2200.0,1.0,115.0
256,"Apartamento para locação, EDIFICIO SARTURI CENTRO, TOLEDO - PR ",2350.0,2.0,69.0
257,"Sala Comercial para locação, CENTRO, TOLEDO - PR ",10000.0,1.0,560.0
258,"Casa para locação, VILA PIONEIRO, TOLEDO - PR ",1600.0,2.0,72.43
259,"Apartamento para locação, JARDIM GISELA, TOLEDO - PR ",2000.0,2.0,70.0
260,"Casa para locação, CENTRO, TOLEDO - PR ",3900.0,2.0,150.0
261,"Casa para locação, JARDIM CONCÓRDIA, TOLEDO - PR ",3000.0,2.0,0.01
262,"Apartamento para locação, JARDIM LA SALLE, TOLEDO - PR ",1300.0,2.0,66.0
263,"Apartamento para locação, VILA INDUSTRIAL, TOLEDO - PR ",1500.0,2.0,70.47
264,"Apartamento para locação, JARDIM CONCÓRDIA, TOLEDO - PR ",1300.0,2.0,74.29
265,"Apartamento para locação, CENTRO, TOLEDO - PR ",4000.0,2.0,200.0
266,"Sobrado em chácara para locação, Jardim Coopagro, TOLEDO - PR ",5900.0,2.0,3000.0
267,"Barracão para locação, VILA BECKER, TOLEDO - PR ",13000.0,0.0,550.2
268,TERRENO BAIRRO CENTRO ,2700000.0,0.0,900.0
269,APARTAMENTO BAIRRO VILA BECKER ,1300.0,2.0,83.0
270,APARTAMENTO CENTRO ,3300.0,0.0,219.0
271,APARTAMENTO BAIRRO CENTRO ,1850.0,2.0,80.29
273,CASA BAIRRO CENTRO ,5500.0,2.0,507.5
274,TERRENO BAIRRO CENTRO ,4000.0,0.0,900.0
275,BARRACÃO BAIRRO CENTRO ,3500.0,0.0,170.0
276,SALA COMERCIAL NA VILA PIONEIRO. ,5700.0,0.0,200.0
277,SALA COMERCIAL CENTRO ,4000.0,0.0,160.0
278,"Sobrado para locação, JARDIM PORTO ALEGRE, TOLEDO - PR ",4500.0,2.0,495.0
279,SOBRADO BAIRRO JARDIM PORTO ALEGRE ,3500.0,3.0,200.0
280,"Sala Comercial para locação, CENTRO, TOLEDO - PR ",4500.0,0.0,150.0
281,"Sala Comercial para locação, JARDIM PORTO ALEGRE, TOLEDO - PR ",4500.0,0.0,200.0
282,"Barracão para fábricas, indústrias, depósitos para locação, em TOLEDO - PR ",12000.0,0.0,800.0
283,"Sala Comercial para locação, CENTRO, TOLEDO - PR ",2370.0,0.0,60.0
284,TERRENO NO JARDIM PANCERA ,3500.0,0.0,2046.87
287,"Sala Comercial para locação, JARDIM PORTO ALEGRE, TOLEDO - PR ",4500.0,0.0,223.5
288,"Sala Comercial para locação, CENTRO, TOLEDO - PR ",9000.0,0.0,225.0
289,"Sala Comercial para locação, CENTRO, TOLEDO - PR ",4950.0,0.0,117.0
290,"Sala Comercial para locação, CENTRO, TOLEDO - PR ",4950.0,0.0,121.0
292,"Lote para locação, JARDIM GISELA, TOLEDO - PR ",4000.0,0.0,2000.0
293,"Sala Comercial para locação, CENTRO, TOLEDO - PR ",9000.0,0.0,650.0
294,"Apartamento para locação, JARDIM PANCERA, TOLEDO - PR ",1500.0,2.0,72.19
295,"Barracão para locação, JARDIM PANCERA, TOLEDO - PR ",7500.0,0.0,360.0
296,"Sobrado para locação, VILA INDUSTRIAL, TOLEDO - PR ",11000.0,0.0,800.0
297,"Apartamento para Locação, CENTRO, TOLEDO - PR ",2500.0,2.0,150.0
299,"Sala Comercial para locação, CENTRO, TOLEDO - PR ",1800.0,0.0,53.0
300,"Sala Comercial PARA LOCAÇÃO, VILA INDUSTRIAL, TOLEDO - PR ",2500.0,0.0,50.0
301,"Barracão para locação, VILA INDUSTRIAL, TOLEDO - PR ",6500.0,0.0,450.0
